t,x_x,x_y,x_z,y_x_obs,y_z_obs
2.51,-6.997024901,-7.434000181,24.55931001,-8.435985367,21.5543031
2.52,-7.046805524,-7.604896492,24.43399718,-12.9758632,23.34700617
2.53,-7.108524585,-7.784175197,24.32835813,-2.26769456,25.19812668
2.54,-7.181797999,-7.970877923,24.24353815,-8.300942571,25.17369857
2.55,-7.266182622,-8.163952439,24.18062732,-10.38809933,23.5859806
2.56,-7.361172153,-8.3622366,24.1406484,-7.162217207,23.9684471
2.57,-7.466191945,-8.564443184,24.12454088,-5.884579702,24.81383133
2.58,-7.580592933,-8.769146366,24.13314128,-6.243940897,22.75639672
2.59,-7.703644972,-8.974770654,24.16715958,-5.908014155,27.42503347
2.6,-7.834529901,-9.179583231,24.22715173,-9.77482894,22.45176042
2.61,-7.972334761,-9.381690744,24.3134887,-5.300766088,23.93080073
2.62,-8.116045598,-9.579041644,24.42632241,-5.308402814,23.54125099
2.63,-8.264542403,-9.769435223,24.56554937,-5.35445125,24.828521
2.64,-8.416595753,-9.950538444,24.7307731,-7.900138106,27.86020914
2.65,-8.570865804,-10.11991156,24.92126685,-9.294406759,23.03902266
2.66,-8.725904261,-10.27504327,25.13593838,-9.623032677,26.04060628
2.67,-8.880159995,-10.41339585,25.37329898,-12.01167814,26.64824079
2.68,-9.031988899,-10.53246012,25.63143935,-10.10953153,27.92706467
2.69,-9.179668487,-10.62981965,25.90801475,-13.9681891,24.3348832
2.7,-9.321417603,-10.70322262,26.20024243,-12.6943539,24.5477835
2.71,-9.455421385,-10.75065929,26.50491363,-8.960089583,26.14646038
2.72,-9.579861364,-10.77044178,26.8184224,-10.0866165,26.50005266
2.73,-9.692950257,-10.7612825,27.1368125,-9.286173776,25.11974042
2.74,-9.792970669,-10.72236675,27.45584297,-8.379271388,28.78117491
2.75,-9.878316547,-10.65341473,27.77107141,-9.108240672,28.8841383
2.76,-9.947535885,-10.55472825,28.07795296,-9.354699883,32.14809957
2.77,-9.999372895,-10.42721795,28.37195139,-10.17356124,27.75778496
2.78,-10.03280768,-10.27240761,28.64865756,-11.53986284,26.58413222
2.79,-10.04709133,-10.09241366,28.90390949,-12.5360349,27.12631487
2.8,-10.04177453,-9.889899389,29.13390767,-10.18313529,29.80249792
2.81,-10.01672788,-9.668005443,29.33531929,-9.914443767,27.80424874
2.82,-9.972152718,-9.430259729,29.50536561,-8.171783589,30.98419095
2.83,-9.908581407,-9.180471618,29.6418875,-10.22787802,28.33605521
2.84,-9.826867144,-8.922616382,29.74338626,-8.730011303,30.11933344
2.85,-9.728163441,-8.660716468,29.80903802,-12.62441796,29.6730775
2.86,-9.613894416,-8.398726246,29.8386822,-9.089822792,28.03929263
2.87,-9.48571735,-8.140426304,29.8327865,-9.106030565,26.92314153
2.88,-9.345479425,-7.889332322,29.7923917,-6.673107225,32.28829167
2.89,-9.195170758,-7.648622136,29.71904134,-9.700205426,30.44595002
2.9,-9.036875935,-7.421083068,29.61470121,-13.85671987,27.30200589
2.91,-8.872726156,-7.209079996,29.4816741,-9.460283996,27.33740806
2.92,-8.70485386,-7.014543256,29.32251451,-7.276060895,33.31710757
2.93,-8.5353514,-6.838974312,29.13994758,-10.88858084,27.46502077
2.94,-8.366234935,-6.683466363,28.93679533,-7.895338198,32.15902763
2.95,-8.19941431,-6.54873654,28.71591248,-10.64416293,29.21398472
2.96,-8.036669286,-6.435166306,28.48013306,-4.394071585,25.17661477
2.97,-7.879632142,-6.342846713,28.23222819,-10.44177056,27.38501497
2.98,-7.729776348,-6.271625588,27.97487461,-8.770953174,29.60007718
2.99,-7.5884108,-6.221154122,27.71063327,-7.105091361,24.16070915
3,-7.456678927,-6.190930886,27.44193657,-6.425858121,26.28685879
3.01,-7.335561879,-6.18034181,27.17108304,-4.786667446,25.91590797
3.02,-7.225884991,-6.188695146,26.90023794,-8.499115557,27.98250116
3.03,-7.128326677,-6.215250845,26.63143837,-5.602473712,27.5276371
3.04,-7.043429012,-6.259244162,26.36660177,-10.41462365,27.44267065
3.05,-6.971609257,-6.319903511,26.10753642,-9.04022536,26.57808864
3.06,-6.913171731,-6.396462842,25.85595332,-9.760640602,26.74859762
3.07,-6.868319474,-6.488168902,25.61347835,-8.481517282,23.04820905
3.08,-6.837165263,-6.594283826,25.38166419,-5.40952499,25.86495323
3.09,-6.819741623,-6.714083548,25.16200154,-8.047695226,28.06435923
3.1,-6.816009545,-6.84685251,24.955929,-7.697314389,25.02014434
3.11,-6.825865717,-6.991875138,24.76484144,-6.288038822,23.52550957
3.12,-6.849148115,-7.148424552,24.59009642,-5.906875528,23.52319173
3.13,-6.88563987,-7.315748921,24.43301836,-7.708916514,27.15830364
3.14,-6.935071376,-7.4930559,24.29490023,-9.016243481,19.46933957
3.15,-6.997120638,-7.679495566,24.17700241,-3.775246648,29.27565832
3.16,-7.071411904,-7.87414229,24.08054842,-7.881950434,20.20687234
3.17,-7.157512677,-8.075976024,24.00671725,-7.778480629,23.43427135
3.18,-7.254929221,-8.283863563,23.95663191,-7.634776903,21.72985582
3.19,-7.363100735,-8.496540398,23.931344,-6.20397845,24.98035875
3.2,-7.48139241,-8.712593895,23.93181401,-10.47020365,25.33020747
3.21,-7.609087651,-8.930448686,23.95888713,-3.503717687,24.3028078
3.22,-7.745379789,-9.148355233,24.0132647,-8.420030113,23.72925827
3.23,-7.889363697,-9.364382725,24.09547118,-6.658850163,20.63412797
3.24,-8.040027783,-9.576417536,24.20581731,-7.711246377,23.42488941
3.25,-8.196246925,-9.782168561,24.34435983,-4.500596899,23.99601436
3.26,-8.35677697,-9.979180784,24.51085905,-5.021001748,22.30337765
3.27,-8.5202515,-10.16485835,24.70473549,-7.345733166,25.34353601
3.28,-8.685181604,-10.33649821,24.92502765,-10.4232761,25.27981987
3.29,-8.849959419,-10.49133515,25.17035311,-6.424921746,24.5227697
3.3,-9.012866183,-10.62659836,25.43887582,-12.39679148,25.40375016
3.31,-9.172085452,-10.73957938,25.72828249,-10.97693164,25.04360061
3.32,-9.325722029,-10.82770997,26.0357715,-9.488897569,22.62446707
3.33,-9.471826897,-10.88864791,26.35805731,-12.70314358,27.32219098
3.34,-9.60842821,-10.9203676,26.69139323,-10.6538656,21.56190455
3.35,-9.733568023,-10.92125124,27.03161471,-8.16387995,27.57635422
3.36,-9.845344033,-10.89017571,27.37420419,-11.27309368,24.74054377
3.37,-9.941955187,-10.82658962,27.71437733,-8.270339394,28.41307858
3.38,-10.02174957,-10.73057477,28.04718874,-5.256545005,28.88756593
